# Time-averaged data for fix 3
# TimeStep c_msd_O[4] c_msd_H[4] v_fitslope_O v_fitslope_H
13900 137.911 438.891 3.08459 8.67732
14000 140.126 453.683 3.12347 8.86878
14100 143.992 470.043 3.16286 9.06536
14200 148.087 486.096 3.20385 9.26782
14300 153.071 507.443 3.247 9.47893
14400 156.109 524.426 3.29157 9.6978
14500 158.884 541.563 3.33583 9.92094
14600 162.387 563.18 3.38061 10.1514
14700 165.852 583.897 3.42588 10.3903
14800 170.038 604.066 3.47222 10.6362
14900 174.912 627.763 3.51992 10.8896
15000 177.58 644.444 3.56865 11.1499
15100 179.226 658.663 3.61571 11.4089
15200 181.276 671.835 3.66203 11.6681
15300 183.513 683.565 3.70764 11.9262
15400 184.244 687.041 3.75164 12.1765
15500 185.169 690.406 3.79374 12.417
15600 186.899 696.858 3.83429 12.6494
15700 189.853 708.114 3.87443 12.8774
15800 192.583 716.119 3.91488 13.103
15900 194.273 722.862 3.95434 13.3218
16000 196.15 728.617 3.99293 13.5348
16100 199.085 737.448 4.03116 13.7428
16200 201.707 745.545 4.0692 13.9467
16300 205.429 760.379 4.10766 14.1494
16400 207.529 771.089 4.14592 14.3511
16500 210.636 784.864 4.18375 14.5512
16600 212.418 799.33 4.2213 14.7526
16700 213.278 810.77 4.25759 14.9536
16800 213.586 816.163 4.29195 15.1497
16900 216.393 829.83 4.32537 15.3425
17000 219.759 848.22 4.35898 15.537
17100 224.571 867.293 4.39351 15.7354
17200 231.013 894.658 4.42988 15.9398
17300 237.471 924.568 4.4688 16.1548
17400 243.071 953.185 4.50952 16.3787
17500 248.67 981.367 4.55174 16.611
17600 253.003 1009.31 4.5951 16.8515
17700 257.688 1042.29 4.6389 17.1001
17800 264.151 1084.19 4.68419 17.3626
17900 269.732 1124.9 4.73097 17.64
18000 276.769 1167.45 4.77937 17.9313
18100 284.494 1209.79 4.82993 18.2366
18200 292.091 1252.86 4.88288 18.5556
18300 301.475 1302.4 4.93836 18.8892
18400 310.587 1354.61 4.99702 19.2402
18500 318.908 1407.85 5.0582 19.6089
18600 327.376 1462.95 5.12134 19.9937
18700 336.116 1526.15 5.18686 20.399
18800 343.724 1587.92 5.25423 20.8248
18900 351.38 1651.21 5.32288 21.2696
19000 361.462 1720.71 5.39385 21.7363
19100 371.857 1799.29 5.46756 22.2271
19200 380.194 1862.28 5.54343 22.7385
19300 386.155 1929.22 5.61987 23.2659
19400 394.388 2006.92 5.6969 23.8135
19500 404.096 2091.16 5.77579 24.3853
19600 414.707 2183.93 5.85678 24.9835
19700 426.84 2284.79 5.94038 25.6113
19800 439.236 2376.53 6.0273 26.2684
19900 451.445 2461.33 6.11705 26.9476
20000 462.544 2544.22 6.20942 27.6465
20100 471.809 2622.27 6.30317 28.3609
20200 478.038 2687.19 6.39695 29.0854
20300 489.9 2766.74 6.49188 29.8227
20400 500.778 2839.9 6.58862 30.5704
20500 512.44 2917.58 6.68733 31.3303
20600 522.847 2990.01 6.78758 32.1004
20700 532.028 3052.38 6.88866 32.8761
20800 540.511 3118.41 6.99029 33.6564
20900 550.454 3194.72 7.09221 34.443
21000 560.076 3273.98 7.1952 35.2406
21100 566.236 3339.68 7.29782 36.044
21200 578.658 3438.6 7.40072 36.8575
21300 591.671 3541.46 7.50612 37.692
21400 599.645 3619.38 7.61204 38.5381
21500 613.306 3721.33 7.71888 39.3957
21600 623.315 3806.06 7.82694 40.2655
21700 631.44 3879.08 7.93527 41.1425
21800 638.144 3945.55 8.04248 42.0187
21900 651.268 4048.2 8.15051 42.9041
22000 662.11 4151.64 8.25973 43.8051
22100 672.249 4253.39 8.36916 44.7189
22200 681.427 4355.4 8.47883 45.6457
22300 695.656 4482.09 8.58925 46.5896
22400 709.315 4600.92 8.70205 47.5564
22500 717.647 4692.91 8.81513 48.5341
22600 724.334 4777.59 8.92687 49.5142
22700 735.514 4881.26 9.03853 50.5022
22800 750.26 5005.33 9.15143 51.5041
22900 765.379 5132.47 9.26657 52.5254
23000 781.037 5270.98 9.38329 53.564
23100 795.318 5404.65 9.50201 54.6244
23200 807.527 5528.69 9.62173 55.7013
23300 816.38 5626.56 9.74111 56.7855
23400 834.363 5770.97 9.86135 57.8809
23500 851.7 5910.53 9.98454 58.9983
23600 871.392 6067.3 10.1103 60.1348
23700 887.781 6213.96 10.2386 61.2939
23800 903.564 6350.54 10.3687 62.4704
23900 912.017 6447.39 10.4985 63.651
24000 925.14 6574.26 10.6275 64.8342
24100 944.883 6738.78 10.7585 66.0354
24200 962.913 6895.24 10.8919 67.2579
24300 983.303 7066.76 11.0279 68.5022
24400 1003.9 7230.69 11.1665 69.7673
24500 1027.98 7421.22 11.3085 71.0566
24600 1043.97 7566.41 11.4526 72.3635
24700 1059.57 7715.43 11.5976 73.6837
24800 1085.28 7924.45 11.7448 75.0243
24900 1110.49 8127.34 11.8961 76.3962
25000 1129.88 8293.76 12.05 77.7883
25100 1148.46 8466.95 12.2053 79.1958
25200 1163.37 8617.26 12.3613 80.6161
25300 1178.05 8766.79 12.517 82.0425
25400 1197.05 8948.66 12.6732 83.4797
25500 1217.28 9130.78 12.8314 84.9378
25600 1233.25 9290.21 12.9899 86.4048
25700 1254.96 9486.98 13.1497 87.887
25800 1279.23 9709.61 13.312 89.3935
25900 1307.61 9971.82 13.4775 90.9327
26000 1328.58 10182.3 13.6457 92.5023
26100 1347.62 10370.6 13.8146 94.0862
26200 1373.6 10602.8 13.9855 95.6905
26300 1392.13 10786.6 14.1582 97.3141
26400 1416.19 11013 14.3317 98.9515
26500 1442.7 11259.4 14.5077 100.614
26600 1467.35 11500.4 14.6861 102.303
26700 1490.11 11728.4 14.866 104.013
26800 1515.34 11974.8 15.0478 105.746
26900 1538.61 12206.1 15.2312 107.499
27000 1568.22 12479.7 15.4171 109.279
27100 1597.22 12754 15.6058 111.088
27200 1623.47 13009.4 15.7967 112.921
27300 1651.51 13277.7 15.9897 114.777
27400 1678.79 13546.1 16.1851 116.66
27500 1714.65 13885.8 16.3835 118.575
27600 1751.74 14233.8 16.5866 120.536
27700 1781.28 14529.2 16.7928 122.531
27800 1815.97 14865.9 17.0019 124.558
27900 1852.23 15204.8 17.2151 126.626
28000 1876.71 15452.1 17.43 128.713
28100 1910.07 15773.9 17.6466 130.821
28200 1946.91 16130 17.8668 132.966
28300 1988.61 16535.3 18.091 135.152
28400 2035.58 16980.1 18.3207 137.394
28500 2064.34 17278.1 18.5541 139.675
28600 2088.98 17550 18.7873 141.965
28700 2131.97 17956.9 19.0233 144.285
28800 2174.41 18369.6 19.2643 146.655
28900 2205.93 18689.6 19.5075 149.052
29000 2240.67 19026.8 19.7527 151.471
29100 2287.98 19469.9 20.0011 153.922
29200 2338.76 19940.6 20.2557 156.429
29300 2381.33 20346.9 20.5148 158.979
29400 2424.04 20765.8 20.7777 161.567
29500 2473.25 21237.7 21.0446 164.196
29600 2525.85 21749.7 21.316 166.872
29700 2591.56 22369.1 21.5953 169.623
29800 2644.09 22889.6 21.8814 172.441
29900 2683.35 23283.9 22.1709 175.296
30000 2719.75 23637.3 22.4615 178.167
30100 2759.12 24018.2 22.7534 181.051
