#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
 179700      1.39e+00    1.38e+00      6.13e-03    9.36e-03      1.06e-01    1.04e-01    1.7e-04
 179800      1.34e+00    1.50e+00      7.65e-03    8.41e-03      1.01e-01    1.14e-01    1.7e-04
 179900      1.40e+00    2.18e+00      8.16e-03    6.07e-03      1.06e-01    1.68e-01    1.7e-04
 180000      1.32e+00    1.14e+00      3.46e-03    2.86e-03      1.04e-01    9.03e-02    1.6e-04
 180100      2.32e+00    1.26e+00      3.47e-04    5.13e-04      1.85e-01    1.00e-01    1.6e-04
 180200      1.48e+00    1.31e+00      7.57e-03    5.08e-03      1.15e-01    1.03e-01    1.6e-04
 180300      2.40e+00    1.79e+00      1.55e-02    1.73e-02      1.85e-01    1.33e-01    1.6e-04
 180400      1.06e+00    1.84e+00      6.17e-03    7.59e-03      8.20e-02    1.45e-01    1.6e-04
 180500      1.36e+00    1.48e+00      3.90e-03    3.75e-03      1.07e-01    1.17e-01    1.6e-04
 180600      1.47e+00    1.50e+00      1.79e-03    1.78e-03      1.16e-01    1.19e-01    1.6e-04
 180700      1.29e+00    1.38e+00      1.81e-03    8.09e-04      1.02e-01    1.09e-01    1.6e-04
 180800      1.37e+00    1.27e+00      4.64e-03    4.15e-03      1.08e-01    1.00e-01    1.6e-04
 180900      1.29e+00    1.32e+00      1.62e-03    1.70e-03      1.03e-01    1.05e-01    1.6e-04
 181000      1.41e+00    1.27e+00      2.13e-03    1.80e-03      1.12e-01    1.01e-01    1.6e-04
 181100      1.21e+00    1.41e+00      1.09e-03    1.56e-03      9.64e-02    1.11e-01    1.6e-04
 181200      1.76e+00    1.23e+00      3.08e-03    1.98e-03      1.39e-01    9.77e-02    1.6e-04
 181300      1.10e+00    2.03e+00      2.47e-03    1.10e-03      8.68e-02    1.61e-01    1.6e-04
 181400      1.26e+00    1.55e+00      9.30e-03    9.32e-03      9.63e-02    1.20e-01    1.6e-04
 181500      1.54e+00    1.52e+00      9.60e-03    8.89e-03      1.19e-01    1.18e-01    1.6e-04
 181600      1.99e+00    1.48e+00      1.93e-03    2.10e-03      1.58e-01    1.17e-01    1.6e-04
 181700      1.14e+00    1.33e+00      8.30e-04    7.60e-04      9.07e-02    1.05e-01    1.6e-04
 181800      1.41e+00    1.39e+00      6.31e-03    5.40e-03      1.11e-01    1.09e-01    1.6e-04
 181900      1.29e+00    1.40e+00      3.18e-03    2.75e-03      1.02e-01    1.11e-01    1.6e-04
 182000      1.53e+00    1.70e+00      4.40e-03    3.50e-03      1.20e-01    1.34e-01    1.6e-04
 182100      1.16e+00    1.37e+00      5.79e-03    4.08e-03      9.02e-02    1.08e-01    1.6e-04
 182200      1.40e+00    1.46e+00      1.37e-02    1.35e-02      1.04e-01    1.09e-01    1.6e-04
 182300      1.35e+00    1.70e+00      1.73e-03    1.70e-03      1.07e-01    1.35e-01    1.6e-04
 182400      1.12e+00    1.94e+00      1.72e-03    3.05e-04      8.87e-02    1.54e-01    1.6e-04
 182500      1.62e+00    1.32e+00      5.93e-05    2.12e-03      1.28e-01    1.05e-01    1.6e-04
 182600      1.57e+00    1.48e+00      1.26e-02    1.16e-02      1.19e-01    1.12e-01    1.6e-04
 182700      1.29e+00    1.91e+00      3.69e-03    5.96e-03      1.02e-01    1.51e-01    1.6e-04
 182800      1.59e+00    1.35e+00      5.40e-03    4.46e-03      1.25e-01    1.07e-01    1.6e-04
 182900      1.17e+00    1.31e+00      1.53e-03    2.45e-04      9.25e-02    1.04e-01    1.6e-04
 183000      1.71e+00    1.15e+00      4.47e-03    2.98e-03      1.36e-01    9.11e-02    1.6e-04
 183100      1.35e+00    1.27e+00      2.28e-03    1.97e-03      1.07e-01    1.00e-01    1.6e-04
 183200      1.36e+00    1.32e+00      6.67e-03    7.53e-03      1.06e-01    1.03e-01    1.6e-04
 183300      1.62e+00    1.27e+00      1.19e-03    2.65e-03      1.29e-01    1.01e-01    1.6e-04
 183400      1.25e+00    1.32e+00      4.70e-03    4.34e-03      9.87e-02    1.04e-01    1.6e-04
 183500      1.36e+00    1.23e+00      4.86e-03    2.77e-03      1.07e-01    9.71e-02    1.6e-04
 183600      1.19e+00    1.28e+00      1.99e-03    4.09e-03      9.45e-02    1.01e-01    1.6e-04
 183700      1.34e+00    1.29e+00      4.03e-03    5.38e-03      1.06e-01    1.01e-01    1.6e-04
 183800      1.36e+00    1.31e+00      4.87e-03    3.20e-03      1.07e-01    1.04e-01    1.6e-04
 183900      1.41e+00    1.27e+00      2.52e-03    2.24e-03      1.12e-01    1.00e-01    1.6e-04
 184000      1.50e+00    1.58e+00      2.42e-03    4.41e-03      1.19e-01    1.25e-01    1.6e-04
 184100      1.44e+00    1.38e+00      1.62e-03    5.01e-04      1.14e-01    1.10e-01    1.6e-04
 184200      2.24e+00    1.43e+00      7.43e-04    2.35e-03      1.77e-01    1.13e-01    1.6e-04
 184300      1.26e+00    1.60e+00      4.42e-03    4.48e-03      9.95e-02    1.26e-01    1.6e-04
 184400      1.31e+00    1.22e+00      9.73e-04    1.66e-03      1.04e-01    9.69e-02    1.6e-04
 184500      1.25e+00    1.27e+00      3.88e-03    1.18e-03      9.89e-02    1.01e-01    1.6e-04
 184600      1.88e+00    1.25e+00      5.84e-03    6.59e-03      1.48e-01    9.78e-02    1.6e-04
 184700      1.56e+00    1.66e+00      3.04e-03    3.96e-03      1.24e-01    1.32e-01    1.6e-04
 184800      1.37e+00    1.18e+00      4.43e-03    3.94e-03      1.08e-01    9.26e-02    1.6e-04
 184900      1.35e+00    1.33e+00      3.78e-03    3.52e-03      1.07e-01    1.05e-01    1.6e-04
 185000      1.34e+00    1.46e+00      3.16e-03    2.43e-04      1.08e-01    1.19e-01    1.5e-04
 185100      1.67e+00    1.30e+00      1.32e-03    1.97e-03      1.36e-01    1.06e-01    1.5e-04
 185200      1.41e+00    1.24e+00      8.80e-04    8.00e-04      1.15e-01    1.01e-01    1.5e-04
 185300      1.28e+00    1.34e+00      1.24e-03    2.64e-03      1.04e-01    1.09e-01    1.5e-04
 185400      1.62e+00    1.21e+00      3.36e-03    2.85e-03      1.32e-01    9.79e-02    1.5e-04
 185500      1.42e+00    1.27e+00      4.36e-04    1.24e-03      1.16e-01    1.04e-01    1.5e-04
 185600      1.30e+00    1.45e+00      3.08e-03    2.02e-03      1.05e-01    1.18e-01    1.5e-04
 185700      1.53e+00    1.51e+00      1.67e-03    1.59e-03      1.25e-01    1.23e-01    1.5e-04
 185800      1.27e+00    1.17e+00      1.56e-03    6.28e-04      1.03e-01    9.50e-02    1.5e-04
 185900      1.80e+00    1.65e+00      7.10e-03    5.95e-03      1.45e-01    1.33e-01    1.5e-04
 186000      1.64e+00    1.07e+00      7.70e-04    4.70e-04      1.34e-01    8.67e-02    1.5e-04
 186100      1.82e+00    1.38e+00      4.89e-03    7.79e-03      1.47e-01    1.10e-01    1.5e-04
 186200      1.84e+00    1.92e+00      5.95e-03    6.05e-03      1.49e-01    1.56e-01    1.5e-04
 186300      1.36e+00    1.30e+00      1.44e-02    1.45e-02      1.02e-01    9.73e-02    1.5e-04
 186400      1.63e+00    1.86e+00      8.31e-03    7.38e-03      1.31e-01    1.50e-01    1.5e-04
 186500      1.36e+00    1.13e+00      4.22e-03    4.44e-03      1.10e-01    9.14e-02    1.5e-04
 186600      1.19e+00    1.32e+00      3.23e-03    2.11e-03      9.68e-02    1.07e-01    1.5e-04
 186700      1.34e+00    1.39e+00      8.55e-03    4.86e-03      1.06e-01    1.12e-01    1.5e-04
 186800      1.15e+00    1.62e+00      3.81e-03    4.90e-03      9.30e-02    1.31e-01    1.5e-04
 186900      1.36e+00    1.34e+00      5.29e-03    1.78e-03      1.10e-01    1.09e-01    1.5e-04
 187000      1.23e+00    1.46e+00      4.47e-03    2.38e-03      9.96e-02    1.18e-01    1.5e-04
 187100      1.39e+00    1.38e+00      3.46e-04    4.47e-04      1.13e-01    1.12e-01    1.5e-04
 187200      1.24e+00    1.36e+00      3.60e-04    7.35e-04      1.01e-01    1.11e-01    1.5e-04
 187300      1.86e+00    1.67e+00      1.20e-03    2.11e-04      1.52e-01    1.36e-01    1.5e-04
 187400      1.51e+00    1.24e+00      4.83e-03    2.79e-03      1.22e-01    1.00e-01    1.5e-04
 187500      1.12e+00    1.40e+00      1.65e-03    1.51e-03      9.13e-02    1.14e-01    1.5e-04
 187600      2.15e+00    1.46e+00      2.38e-03    1.04e-03      1.75e-01    1.19e-01    1.5e-04
 187700      2.01e+00    1.44e+00      3.22e-03    5.79e-03      1.63e-01    1.16e-01    1.5e-04
 187800      1.47e+00    1.33e+00      4.06e-03    1.77e-03      1.19e-01    1.08e-01    1.5e-04
 187900      1.31e+00    1.30e+00      4.90e-03    5.49e-03      1.06e-01    1.04e-01    1.5e-04
 188000      1.47e+00    1.63e+00      1.29e-02    1.23e-02      1.13e-01    1.28e-01    1.5e-04
 188100      1.54e+00    1.29e+00      7.83e-04    9.70e-04      1.25e-01    1.05e-01    1.5e-04
 188200      1.48e+00    1.19e+00      4.28e-03    2.80e-03      1.20e-01    9.64e-02    1.5e-04
 188300      1.52e+00    1.44e+00      1.99e-03    1.47e-03      1.23e-01    1.17e-01    1.5e-04
 188400      1.39e+00    1.17e+00      3.83e-03    3.14e-03      1.12e-01    9.48e-02    1.5e-04
 188500      1.32e+00    1.21e+00      4.58e-03    5.10e-03      1.07e-01    9.77e-02    1.5e-04
 188600      2.17e+00    1.32e+00      3.25e-03    1.37e-03      1.77e-01    1.08e-01    1.5e-04
 188700      1.33e+00    1.48e+00      3.26e-03    1.30e-04      1.08e-01    1.20e-01    1.5e-04
 188800      1.41e+00    1.21e+00      4.90e-04    2.24e-03      1.15e-01    9.80e-02    1.5e-04
 188900      1.34e+00    1.40e+00      1.22e-02    1.12e-02      1.03e-01    1.09e-01    1.5e-04
 189000      1.52e+00    1.23e+00      7.76e-03    5.90e-03      1.22e-01    9.88e-02    1.5e-04
 189100      1.27e+00    1.33e+00      5.43e-03    2.49e-03      1.02e-01    1.08e-01    1.5e-04
 189200      1.36e+00    1.32e+00      5.08e-03    6.74e-03      1.10e-01    1.06e-01    1.5e-04
 189300      1.09e+00    1.47e+00      2.87e-03    3.25e-03      8.84e-02    1.20e-01    1.5e-04
 189400      1.20e+00    1.11e+00      2.55e-03    2.37e-03      9.73e-02    8.98e-02    1.5e-04
 189500      1.44e+00    1.36e+00      2.54e-03    4.58e-03      1.17e-01    1.10e-01    1.5e-04
 189600      1.44e+00    1.52e+00      3.53e-03    2.06e-03      1.16e-01    1.23e-01    1.5e-04
 189700      1.31e+00    1.29e+00      2.71e-03    3.90e-03      1.06e-01    1.04e-01    1.5e-04
 189800      1.63e+00    1.33e+00      1.38e-03    2.47e-03      1.33e-01    1.08e-01    1.5e-04
 189900      1.49e+00    1.61e+00      1.92e-03    2.39e-03      1.21e-01    1.31e-01    1.5e-04
 190000      2.27e+00    1.44e+00      3.07e-03    4.37e-03      1.89e-01    1.19e-01    1.4e-04
 190100      1.15e+00    1.50e+00      8.72e-04    1.25e-03      9.58e-02    1.25e-01    1.4e-04
 190200      1.61e+00    1.36e+00      4.75e-03    2.20e-03      1.34e-01    1.13e-01    1.4e-04
 190300      1.29e+00    1.43e+00      3.29e-03    4.71e-03      1.07e-01    1.19e-01    1.4e-04
 190400      2.96e+00    1.43e+00      2.07e-03    1.36e-03      2.47e-01    1.19e-01    1.4e-04
 190500      1.34e+00    1.27e+00      2.76e-03    2.31e-03      1.12e-01    1.06e-01    1.4e-04
 190600      1.29e+00    1.29e+00      4.63e-03    2.70e-03      1.06e-01    1.08e-01    1.4e-04
 190700      1.52e+00    9.69e-01      4.92e-03    3.31e-03      1.26e-01    8.03e-02    1.4e-04
 190800      1.30e+00    1.21e+00      2.36e-03    2.35e-04      1.08e-01    1.01e-01    1.4e-04
 190900      1.21e+00    1.31e+00      1.26e-03    1.10e-03      1.01e-01    1.10e-01    1.4e-04
 191000      1.22e+00    1.31e+00      2.96e-03    1.10e-03      1.02e-01    1.09e-01    1.4e-04
 191100      1.75e+00    1.71e+00      6.23e-03    9.25e-03      1.45e-01    1.40e-01    1.4e-04
 191200      1.56e+00    1.41e+00      8.78e-03    8.04e-03      1.28e-01    1.15e-01    1.4e-04
 191300      1.34e+00    1.19e+00      5.24e-03    5.14e-03      1.11e-01    9.82e-02    1.4e-04
 191400      1.19e+00    1.46e+00      1.02e-02    8.52e-03      9.43e-02    1.20e-01    1.4e-04
 191500      1.72e+00    1.10e+00      1.36e-03    1.37e-03      1.44e-01    9.14e-02    1.4e-04
 191600      1.56e+00    1.12e+00      6.34e-03    4.79e-03      1.29e-01    9.27e-02    1.4e-04
 191700      1.22e+00    1.16e+00      2.32e-03    2.38e-03      1.01e-01    9.70e-02    1.4e-04
 191800      1.47e+00    1.20e+00      1.03e-03    2.19e-04      1.22e-01    1.01e-01    1.4e-04
 191900      1.25e+00    1.37e+00      7.31e-03    9.19e-03      1.02e-01    1.11e-01    1.4e-04
 192000      1.57e+00    1.30e+00      1.04e-03    5.33e-04      1.31e-01    1.09e-01    1.4e-04
 192100      1.43e+00    1.55e+00      7.71e-03    6.00e-03      1.17e-01    1.28e-01    1.4e-04
 192200      1.65e+00    2.02e+00      6.31e-03    6.88e-03      1.37e-01    1.68e-01    1.4e-04
 192300      1.30e+00    1.28e+00      3.55e-03    5.34e-03      1.08e-01    1.05e-01    1.4e-04
 192400      1.47e+00    1.29e+00      9.05e-03    7.79e-03      1.20e-01    1.05e-01    1.4e-04
 192500      1.32e+00    1.43e+00      1.30e-03    2.84e-03      1.10e-01    1.19e-01    1.4e-04
 192600      1.25e+00    1.48e+00      8.43e-03    7.11e-03      1.01e-01    1.21e-01    1.4e-04
 192700      1.17e+00    1.28e+00      1.12e-02    9.55e-03      9.14e-02    1.03e-01    1.4e-04
 192800      1.11e+00    1.49e+00      5.94e-04    1.30e-04      9.26e-02    1.24e-01    1.4e-04
 192900      1.44e+00    1.42e+00      6.18e-03    4.65e-03      1.18e-01    1.18e-01    1.4e-04
 193000      1.49e+00    1.22e+00      2.94e-03    8.54e-04      1.24e-01    1.02e-01    1.4e-04
 193100      1.90e+00    1.34e+00      8.79e-03    5.36e-03      1.57e-01    1.11e-01    1.4e-04
 193200      1.36e+00    1.23e+00      2.16e-03    1.59e-03      1.13e-01    1.03e-01    1.4e-04
 193300      1.28e+00    1.31e+00      2.05e-03    1.69e-03      1.07e-01    1.10e-01    1.4e-04
 193400      1.23e+00    1.50e+00      2.54e-03    3.33e-03      1.03e-01    1.25e-01    1.4e-04
 193500      1.10e+00    1.09e+00      4.18e-03    4.05e-03      9.07e-02    9.00e-02    1.4e-04
 193600      1.61e+00    1.55e+00      3.66e-03    1.21e-03      1.34e-01    1.29e-01    1.4e-04
 193700      1.38e+00    1.38e+00      5.75e-05    2.79e-03      1.16e-01    1.15e-01    1.4e-04
 193800      1.14e+00    1.31e+00      2.18e-03    2.33e-03      9.46e-02    1.09e-01    1.4e-04
 193900      1.37e+00    1.26e+00      3.50e-03    1.91e-03      1.14e-01    1.05e-01    1.4e-04
 194000      1.15e+00    1.35e+00      5.24e-03    3.79e-03      9.44e-02    1.12e-01    1.4e-04
 194100      1.25e+00    1.18e+00      7.42e-03    8.40e-03      1.02e-01    9.49e-02    1.4e-04
 194200      1.45e+00    1.19e+00      6.50e-03    6.04e-03      1.19e-01    9.75e-02    1.4e-04
 194300      1.75e+00    1.62e+00      3.86e-03    7.21e-03      1.46e-01    1.34e-01    1.4e-04
 194400      1.21e+00    1.49e+00      6.05e-03    7.58e-03      9.95e-02    1.22e-01    1.4e-04
 194500      1.14e+00    1.61e+00      9.76e-04    5.75e-03      9.50e-02    1.33e-01    1.4e-04
 194600      1.68e+00    1.11e+00      5.34e-03    4.02e-03      1.39e-01    9.21e-02    1.4e-04
 194700      1.29e+00    2.19e+00      2.50e-03    6.89e-04      1.08e-01    1.83e-01    1.4e-04
 194800      1.39e+00    1.28e+00      1.27e-02    1.30e-02      1.10e-01    9.94e-02    1.4e-04
 194900      1.11e+00    1.12e+00      1.42e-03    1.69e-03      9.30e-02    9.31e-02    1.4e-04
 195000      1.53e+00    1.10e+00      3.14e-03    1.64e-03      1.31e-01    9.40e-02    1.4e-04
 195100      1.40e+00    1.59e+00      6.65e-04    2.80e-03      1.20e-01    1.36e-01    1.4e-04
 195200      1.29e+00    1.46e+00      2.36e-03    4.50e-03      1.10e-01    1.25e-01    1.4e-04
 195300      1.65e+00    1.19e+00      2.47e-03    3.44e-03      1.41e-01    1.02e-01    1.4e-04
 195400      1.29e+00    1.23e+00      1.11e-03    9.50e-04      1.10e-01    1.05e-01    1.4e-04
 195500      1.18e+00    1.39e+00      1.20e-03    1.75e-03      1.01e-01    1.19e-01    1.4e-04
 195600      1.17e+00    1.17e+00      4.33e-03    1.61e-03      9.94e-02    1.00e-01    1.4e-04
 195700      1.28e+00    1.62e+00      2.46e-03    2.02e-03      1.09e-01    1.38e-01    1.4e-04
 195800      1.32e+00    1.19e+00      7.12e-03    8.17e-03      1.11e-01    9.85e-02    1.4e-04
 195900      1.20e+00    1.32e+00      7.48e-04    3.37e-04      1.03e-01    1.13e-01    1.4e-04
 196000      1.40e+00    1.15e+00      1.62e-03    3.58e-03      1.20e-01    9.80e-02    1.4e-04
 196100      1.30e+00    1.36e+00      2.83e-03    4.27e-04      1.11e-01    1.16e-01    1.4e-04
 196200      1.21e+00    1.13e+00      6.53e-03    6.43e-03      1.02e-01    9.49e-02    1.4e-04
 196300      1.13e+00    1.28e+00      3.36e-03    2.57e-03      9.67e-02    1.10e-01    1.4e-04
 196400      1.16e+00    1.33e+00      4.11e-03    2.09e-03      9.88e-02    1.14e-01    1.4e-04
 196500      1.43e+00    1.20e+00      6.53e-04    4.70e-04      1.22e-01    1.03e-01    1.4e-04
 196600      1.19e+00    1.11e+00      2.08e-03    1.85e-03      1.02e-01    9.50e-02    1.4e-04
 196700      1.50e+00    1.41e+00      3.22e-03    1.29e-03      1.28e-01    1.21e-01    1.4e-04
 196800      1.36e+00    1.36e+00      2.21e-03    2.90e-05      1.17e-01    1.16e-01    1.4e-04
 196900      1.30e+00    1.10e+00      4.17e-03    4.20e-03      1.11e-01    9.35e-02    1.4e-04
 197000      1.24e+00    1.15e+00      6.69e-04    6.92e-04      1.07e-01    9.86e-02    1.4e-04
 197100      1.23e+00    1.32e+00      4.17e-03    5.66e-03      1.04e-01    1.12e-01    1.4e-04
 197200      1.26e+00    1.33e+00      5.79e-03    1.40e-03      1.07e-01    1.14e-01    1.4e-04
 197300      1.46e+00    1.32e+00      1.68e-03    1.94e-03      1.25e-01    1.13e-01    1.4e-04
 197400      1.26e+00    1.61e+00      2.17e-04    6.33e-04      1.08e-01    1.38e-01    1.4e-04
 197500      1.24e+00    1.48e+00      1.13e-02    1.00e-02      1.00e-01    1.23e-01    1.4e-04
 197600      1.84e+00    1.20e+00      1.69e-03    1.33e-04      1.58e-01    1.03e-01    1.4e-04
 197700      1.27e+00    1.27e+00      1.04e-03    9.33e-04      1.09e-01    1.09e-01    1.4e-04
 197800      1.40e+00    1.30e+00      1.51e-03    5.46e-03      1.20e-01    1.10e-01    1.4e-04
 197900      1.27e+00    1.41e+00      1.17e-03    2.61e-03      1.09e-01    1.20e-01    1.4e-04
 198000      1.38e+00    1.13e+00      5.67e-03    5.77e-03      1.17e-01    9.47e-02    1.4e-04
 198100      1.23e+00    1.33e+00      7.93e-03    9.31e-03      1.03e-01    1.11e-01    1.4e-04
 198200      1.21e+00    1.22e+00      7.34e-04    2.15e-03      1.04e-01    1.04e-01    1.4e-04
 198300      1.26e+00    1.49e+00      2.23e-03    1.56e-03      1.08e-01    1.28e-01    1.4e-04
 198400      1.43e+00    1.36e+00      4.25e-03    4.41e-03      1.22e-01    1.15e-01    1.4e-04
 198500      1.10e+00    1.10e+00      5.22e-03    3.92e-03      9.28e-02    9.32e-02    1.4e-04
 198600      1.17e+00    1.34e+00      2.22e-03    3.87e-03      9.98e-02    1.14e-01    1.4e-04
 198700      1.39e+00    1.30e+00      1.85e-03    2.65e-03      1.19e-01    1.11e-01    1.4e-04
 198800      1.26e+00    1.13e+00      9.16e-04    1.87e-03      1.08e-01    9.64e-02    1.4e-04
 198900      1.52e+00    1.11e+00      2.31e-03    5.19e-04      1.30e-01    9.55e-02    1.4e-04
 199000      1.25e+00    1.32e+00      7.57e-03    6.78e-03      1.05e-01    1.11e-01    1.4e-04
 199100      1.30e+00    1.17e+00      5.92e-04    5.06e-04      1.11e-01    1.00e-01    1.4e-04
 199200      1.36e+00    1.58e+00      9.73e-03    8.65e-03      1.12e-01    1.32e-01    1.4e-04
 199300      1.42e+00    1.62e+00      1.64e-02    1.30e-02      1.10e-01    1.33e-01    1.4e-04
 199400      1.16e+00    1.10e+00      3.67e-03    4.41e-03      9.89e-02    9.35e-02    1.4e-04
 199500      1.31e+00    1.28e+00      1.77e-03    4.66e-03      1.12e-01    1.08e-01    1.4e-04
 199600      9.64e-01    1.27e+00      2.00e-03    5.11e-04      8.24e-02    1.08e-01    1.4e-04
 199700      1.43e+00    1.22e+00      3.88e-03    1.96e-03      1.22e-01    1.04e-01    1.4e-04
 199800      1.11e+00    1.08e+00      3.57e-03    3.10e-03      9.41e-02    9.22e-02    1.4e-04
 199900      1.14e+00    1.16e+00      2.96e-04    9.25e-06      9.77e-02    9.96e-02    1.4e-04
 200000      1.15e+00    1.15e+00      6.07e-03    5.45e-03      9.89e-02    9.92e-02    1.3e-04
 200100      1.30e+00    1.07e+00      2.05e-03    1.53e-05      1.14e-01    9.41e-02    1.3e-04
 200200      1.06e+00    1.51e+00      4.16e-04    8.68e-04      9.29e-02    1.33e-01    1.3e-04
 200300      1.12e+00    1.28e+00      5.38e-03    6.76e-03      9.71e-02    1.11e-01    1.3e-04
 200400      1.06e+00    1.17e+00      3.94e-04    1.27e-03      9.36e-02    1.02e-01    1.3e-04
 200500      1.40e+00    1.31e+00      5.54e-03    5.72e-03      1.22e-01    1.14e-01    1.3e-04
 200600      1.41e+00    1.09e+00      3.00e-03    3.33e-03      1.23e-01    9.49e-02    1.3e-04
 200700      1.12e+00    1.16e+00      2.45e-03    2.40e-03      9.78e-02    1.01e-01    1.3e-04
 200800      1.59e+00    1.23e+00      4.85e-03    4.54e-03      1.39e-01    1.07e-01    1.3e-04
 200900      1.52e+00    1.37e+00      5.59e-03    3.55e-03      1.32e-01    1.20e-01    1.3e-04
 201000      1.08e+00    1.39e+00      8.67e-05    1.23e-04      9.48e-02    1.22e-01    1.3e-04
 201100      1.18e+00    1.22e+00      4.17e-03    6.49e-03      1.03e-01    1.05e-01    1.3e-04
 201200      1.15e+00    1.31e+00      1.31e-03    4.09e-03      1.01e-01    1.14e-01    1.3e-04
 201300      1.26e+00    1.50e+00      2.39e-03    2.34e-03      1.10e-01    1.32e-01    1.3e-04
 201400      1.32e+00    1.40e+00      9.34e-03    8.93e-03      1.12e-01    1.20e-01    1.3e-04
 201500      1.37e+00    1.17e+00      8.04e-03    7.47e-03      1.17e-01    9.98e-02    1.3e-04
 201600      1.17e+00    1.34e+00      4.47e-03    4.20e-03      1.02e-01    1.17e-01    1.3e-04
 201700      1.40e+00    1.40e+00      4.64e-03    4.69e-03      1.22e-01    1.22e-01    1.3e-04
 201800      1.13e+00    1.20e+00      2.54e-03    1.64e-03      9.89e-02    1.05e-01    1.3e-04
 201900      1.47e+00    1.52e+00      1.48e-03    9.87e-04      1.29e-01    1.34e-01    1.3e-04
 202000      1.19e+00    1.12e+00      2.29e-03    2.19e-03      1.05e-01    9.80e-02    1.3e-04
 202100      1.52e+00    1.41e+00      7.44e-03    5.28e-03      1.32e-01    1.23e-01    1.3e-04
 202200      1.02e+00    1.13e+00      7.56e-03    7.77e-03      8.65e-02    9.62e-02    1.3e-04
 202300      1.51e+00    2.18e+00      4.64e-03    5.26e-03      1.32e-01    1.90e-01    1.3e-04
 202400      1.07e+00    1.21e+00      2.17e-03    2.63e-03      9.42e-02    1.06e-01    1.3e-04
 202500      1.34e+00    1.32e+00      1.03e-03    5.16e-04      1.18e-01    1.16e-01    1.3e-04
 202600      1.54e+00    1.15e+00      9.07e-03    9.32e-03      1.32e-01    9.65e-02    1.3e-04
 202700      1.44e+00    1.06e+00      3.25e-03    5.36e-03      1.26e-01    9.18e-02    1.3e-04
 202800      1.45e+00    1.02e+00      5.02e-05    2.06e-03      1.28e-01    8.98e-02    1.3e-04
 202900      1.25e+00    1.36e+00      9.59e-04    2.12e-03      1.10e-01    1.19e-01    1.3e-04
 203000      1.18e+00    1.24e+00      4.66e-03    2.73e-03      1.03e-01    1.09e-01    1.3e-04
 203100      1.24e+00    1.33e+00      6.80e-03    4.77e-03      1.07e-01    1.16e-01    1.3e-04
 203200      1.28e+00    1.25e+00      2.83e-03    2.36e-03      1.13e-01    1.10e-01    1.3e-04
 203300      1.20e+00    1.11e+00      3.53e-03    2.70e-03      1.05e-01    9.72e-02    1.3e-04
 203400      1.37e+00    1.20e+00      4.08e-03    9.22e-04      1.20e-01    1.06e-01    1.3e-04
 203500      1.38e+00    1.49e+00      3.54e-04    4.80e-04      1.21e-01    1.31e-01    1.3e-04
 203600      1.56e+00    2.01e+00      9.98e-03    8.61e-03      1.33e-01    1.74e-01    1.3e-04
 203700      1.25e+00    1.09e+00      4.51e-03    4.21e-03      1.08e-01    9.52e-02    1.3e-04
 203800      1.53e+00    1.15e+00      5.19e-03    1.95e-03      1.33e-01    1.01e-01    1.3e-04
 203900      1.44e+00    1.30e+00      5.93e-04    4.80e-03      1.27e-01    1.14e-01    1.3e-04
 204000      1.23e+00    1.20e+00      2.65e-04    6.08e-04      1.08e-01    1.05e-01    1.3e-04
 204100      1.16e+00    1.21e+00      6.58e-04    9.15e-04      1.02e-01    1.06e-01    1.3e-04
 204200      1.30e+00    1.27e+00      1.05e-02    8.03e-03      1.09e-01    1.08e-01    1.3e-04
 204300      1.44e+00    1.17e+00      9.35e-03    7.47e-03      1.23e-01    1.00e-01    1.3e-04
 204400      1.38e+00    1.96e+00      2.51e-03    1.13e-03      1.21e-01    1.72e-01    1.3e-04
 204500      1.40e+00    1.13e+00      9.17e-04    2.84e-04      1.23e-01    9.96e-02    1.3e-04
 204600      1.40e+00    1.30e+00      4.56e-03    5.51e-03      1.22e-01    1.13e-01    1.3e-04
 204700      1.30e+00    1.28e+00      4.58e-03    2.00e-03      1.13e-01    1.12e-01    1.3e-04
 204800      1.17e+00    1.21e+00      2.91e-03    1.73e-03      1.02e-01    1.06e-01    1.3e-04
 204900      1.22e+00    1.35e+00      1.05e-02    8.51e-03      1.02e-01    1.15e-01    1.3e-04
 205000      1.21e+00    1.45e+00      2.00e-03    4.03e-03      1.09e-01    1.30e-01    1.2e-04
 205100      1.42e+00    1.12e+00      2.09e-03    7.92e-04      1.28e-01    1.01e-01    1.2e-04
 205200      1.44e+00    1.12e+00      2.70e-03    2.77e-03      1.29e-01    1.01e-01    1.2e-04
 205300      1.23e+00    1.10e+00      5.91e-03    2.83e-03      1.09e-01    9.90e-02    1.2e-04
 205400      9.49e-01    1.10e+00      1.88e-03    2.29e-03      8.54e-02    9.93e-02    1.2e-04
 205500      1.42e+00    1.21e+00      7.86e-03    7.98e-03      1.25e-01    1.06e-01    1.2e-04
 205600      1.40e+00    1.08e+00      2.85e-03    1.29e-03      1.25e-01    9.72e-02    1.2e-04
 205700      1.23e+00    1.33e+00      3.35e-03    1.47e-03      1.11e-01    1.20e-01    1.2e-04
 205800      1.15e+00    1.25e+00      6.76e-04    4.55e-04      1.04e-01    1.13e-01    1.2e-04
 205900      1.05e+00    1.09e+00      6.70e-04    1.18e-03      9.51e-02    9.83e-02    1.2e-04
